,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC)
3170,Hyundai,2012,415000,82082,Diesel,Dealer,Manual,First Owner,5,88.73,kmpl,22.54,1396
3173,Hyundai,2018,1150000,49000,Diesel,Individual,Automatic,First Owner,5,126.2,kmpl,22.0,1582
3176,Hyundai,2013,195000,58609,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
3182,Tata,2018,749000,30000,Diesel,Individual,Manual,First Owner,5,108.5,kmpl,21.5,1497
3185,Mahindra,2011,200000,120000,Diesel,Individual,Manual,Third Owner,5,64.1,kmpl,21.0,1461
3186,Tata,2014,240000,168000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.3,1248
3188,Maruti,2008,145000,120000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
3189,Maruti,2016,450000,5800,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,20.51,998
3194,Hyundai,2016,335000,17000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
3195,Maruti,2018,459999,5000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
3203,Tata,2012,140000,195000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,21.12,1248
3204,Hyundai,2012,200000,70000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
3205,Hyundai,2012,180000,100000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
3206,Maruti,2015,550000,25000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
3208,Maruti,2012,550000,67000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248
3210,Renault,2013,315000,85000,Diesel,Individual,Manual,First Owner,5,63.12,kmpl,23.08,1461
3215,Hyundai,2011,360000,80000,Diesel,Individual,Manual,Second Owner,5,126.32,kmpl,22.32,1582
3216,Maruti,2014,300000,31000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
3219,Maruti,2016,350000,20000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
3220,Ford,2017,700000,60000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498
3221,Maruti,2013,415000,102996,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,23.4,1248
3222,Hyundai,2015,550000,60000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
3228,Ford,2013,480000,87452,Diesel,Dealer,Manual,Second Owner,5,98.59,kmpl,22.77,1498
3229,Ford,2018,750000,17000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3235,Maruti,2019,650000,10000,Petrol,Individual,Automatic,First Owner,5,81.8,kmpl,21.21,1197
3238,Maruti,2016,300000,5000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
3239,Maruti,2009,150000,40000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3241,Hyundai,2016,310000,25000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
3250,Maruti,2009,195000,40000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3252,Hyundai,2015,615000,72000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
3253,Hyundai,2013,350000,70000,Diesel,Individual,Manual,Second Owner,5,88.76,kmpl,21.9,1396
3255,Hyundai,2017,650000,32331,Diesel,Individual,Manual,Second Owner,5,88.73,kmpl,22.54,1396
3256,Hyundai,2016,1100000,70000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
3257,Hyundai,2010,285000,80000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.0,1396
3265,Hyundai,2016,900000,98000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
3272,Hyundai,2011,340000,80000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,21.9,1396
3273,Hyundai,2012,222000,120000,LPG,Individual,Manual,First Owner,5,55.2,km/kg,21.1,814
3278,Maruti,2014,320000,70000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
3279,Renault,2012,500000,120000,Diesel,Individual,Manual,Second Owner,5,78.0,kmpl,21.8,1461
3283,Renault,2017,500000,80000,Diesel,Individual,Manual,Second Owner,5,63.1,kmpl,23.08,1461
3287,Tata,2012,200000,230000,Diesel,Individual,Manual,First Owner,5,70.0,kmpl,23.57,1396
3290,Ford,2019,900000,35000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3293,Hyundai,2011,165000,97000,Petrol,Individual,Manual,Third Owner,5,68.05,kmpl,19.81,1086
3298,Hyundai,2011,160000,60000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
3300,Maruti,2014,430000,90000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.9,1248
3305,Volkswagen,2018,600000,40000,Diesel,Individual,Manual,First Owner,5,108.62,kmpl,21.66,1498
3306,Hyundai,2017,1200000,25000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
3310,Maruti,2013,530000,40000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
3317,Maruti,2018,509999,8000,Petrol,Individual,Automatic,Second Owner,5,67.0,kmpl,20.51,998
3318,Toyota,2015,387000,170000,Diesel,Individual,Manual,First Owner,5,67.04,kmpl,23.59,1364
3319,Maruti,2014,235000,25000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
3328,Maruti,2007,100000,90000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
3329,Volkswagen,2014,565000,111000,Diesel,Individual,Manual,First Owner,5,103.2,kmpl,20.34,1498
3331,Maruti,2017,625000,15000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
3332,Maruti,2016,280000,30000,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
3334,Hyundai,2015,1300000,40000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
3345,Maruti,2017,700000,15000,Petrol,Individual,Automatic,First Owner,5,81.8,kmpl,21.21,1197
3347,Ford,2015,600000,135000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498
3352,Maruti,2012,229999,120000,Diesel,Individual,Manual,First Owner,5,73.94,kmpl,23.2,1248
3356,Tata,2007,100000,90000,Diesel,Individual,Manual,Third Owner,5,70.0,kmpl,23.57,1396
3358,Hyundai,2018,850000,50000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
3360,Maruti,2014,250000,40000,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
3361,Tata,2012,125000,120000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.3,1248
3370,Hyundai,2019,458000,30000,Petrol,Individual,Manual,First Owner,5,68.0,kmpl,20.3,1086
3371,Ford,2018,950000,20000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3372,Maruti,2017,650000,21000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,22.0,1197
3373,Maruti,2013,400000,70000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.9,1248
3375,Maruti,2006,100000,42500,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3376,Hyundai,2012,350000,25000,Petrol,Individual,Manual,First Owner,5,78.9,kmpl,20.36,1197
3379,Volkswagen,2010,250000,80000,Diesel,Individual,Manual,Fourth & Above Owner,5,73.9,kmpl,22.07,1199
3387,Renault,2016,300000,34000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
3388,Renault,2017,819999,50000,Diesel,Individual,Manual,First Owner,5,83.8,kmpl,19.87,1461
3389,Tata,2010,409999,100000,Diesel,Individual,Manual,Second Owner,5,70.0,kmpl,19.61,1405
3391,Maruti,2013,497000,110000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248
3394,Ford,2019,975000,30000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3395,Ford,2018,620000,15000,Petrol,Individual,Manual,First Owner,5,94.93,kmpl,20.4,1194
3397,Ford,2018,950000,40000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3398,Maruti,2014,545000,110000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248
3399,Maruti,2011,400000,72000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.9,1248
3404,Maruti,2017,484999,30000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.89,1197
3409,Maruti,2016,574000,35000,Petrol,Individual,Manual,Second Owner,5,83.14,kmpl,20.85,1197
3410,Tata,2013,200000,167000,Diesel,Individual,Manual,First Owner,5,88.8,kmpl,22.3,1248
3411,Hyundai,2016,1100000,94000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
3416,Maruti,2019,500000,10000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
3418,Tata,2019,600000,5200,Petrol,Individual,Manual,First Owner,5,83.81,kmpl,20.3,1199
3420,Maruti,2013,409999,90000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
3424,Renault,2018,950000,26000,Diesel,Individual,Manual,First Owner,5,108.45,kmpl,19.6,1461
3438,Hyundai,2012,267000,40000,Petrol,Individual,Manual,First Owner,5,78.9,kmpl,20.36,1197
3446,Hyundai,2008,120000,93331,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,19.81,1086
3451,Maruti,2019,750000,6500,Petrol,Individual,Automatic,First Owner,5,81.8,kmpl,21.21,1197
3454,Toyota,2015,570000,120000,Diesel,Individual,Manual,Second Owner,5,67.05,kmpl,23.59,1364
3455,Hyundai,2012,180000,120000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
3458,Ford,2015,685000,109000,Diesel,Dealer,Manual,First Owner,5,89.84,kmpl,22.7,1498
3461,Hyundai,2013,425000,101000,Diesel,Dealer,Manual,First Owner,5,88.76,kmpl,21.9,1396
3462,Volkswagen,2019,1350000,5400,Diesel,Dealer,Manual,Test Drive Car,5,108.6,kmpl,22.27,1498
3465,Renault,2018,500000,31000,Petrol,Dealer,Manual,First Owner,5,67.0,kmpl,23.01,999
3466,Maruti,2016,434999,55000,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,20.52,1197
3467,Tata,2018,250000,55000,Petrol,Dealer,Automatic,First Owner,4,37.48,kmpl,21.9,624
3468,Hyundai,2014,700000,117000,Diesel,Dealer,Manual,First Owner,5,126.32,kmpl,22.32,1582
3470,Maruti,2015,425000,75000,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,20.52,1197
3472,Tata,2019,1140000,10000,Diesel,Individual,Automatic,First Owner,5,108.5,kmpl,21.5,1497
3476,Maruti,2010,215000,64000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3478,Maruti,2011,215000,50000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
3482,Maruti,2017,395000,25000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,21.63,998
3486,Maruti,2014,300000,10000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
3487,Chevrolet,2013,355000,68000,Diesel,Individual,Manual,First Owner,5,76.9,kmpl,22.1,1248
3488,Maruti,2015,180000,35000,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
3494,Maruti,2013,409999,90000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.9,1248
3498,Maruti,2013,550000,56000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
3503,Maruti,2009,155000,54000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3506,Hyundai,2018,565000,10000,Petrol,Individual,Automatic,First Owner,5,68.0,kmpl,20.3,1086
3507,Ford,2018,900000,40000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3511,Hyundai,2015,575000,60000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
3514,Ford,2017,750000,37000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3515,Maruti,2018,625000,22000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
3516,Hyundai,2018,799000,60000,Diesel,Individual,Manual,Second Owner,5,88.73,kmpl,22.54,1396
3517,Maruti,2013,300000,57000,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,20.51,998
3518,Maruti,2017,850000,27000,Petrol,Individual,Manual,First Owner,5,91.1,kmpl,20.73,1373
3520,Maruti,2011,229999,40000,Petrol,Individual,Manual,Second Owner,5,67.1,kmpl,20.92,998
3521,Maruti,2015,400000,60000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
3524,Hyundai,2015,250999,43000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
3526,Maruti,2016,450000,64000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
3527,Renault,2017,575000,96000,Diesel,Individual,Manual,First Owner,5,83.8,kmpl,19.87,1461
3528,Renault,2013,400000,96000,Diesel,Individual,Manual,First Owner,5,83.8,kmpl,20.46,1461
3529,Maruti,2019,480000,7600,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,21.63,998
3530,Maruti,2019,490000,7000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,21.63,998
3532,Tata,2017,600000,50000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.95,1248
3534,Tata,2015,425000,80000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,23.0,1248
3537,Maruti,2015,360000,34000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
3541,Hyundai,2014,755000,29340,Diesel,Individual,Manual,First Owner,5,126.32,kmpl,22.32,1582
3542,Ford,2011,215000,120000,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399
3544,Hyundai,2007,190000,70000,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,19.81,1086
3547,Maruti,2014,438999,81000,Diesel,Dealer,Manual,First Owner,5,74.0,kmpl,23.4,1248
3548,Renault,2015,550000,240000,Diesel,Individual,Manual,First Owner,7,108.5,kmpl,19.98,1461
3557,Maruti,2013,375000,88200,Diesel,Individual,Manual,First Owner,5,73.94,kmpl,23.2,1248
3567,Maruti,2016,270000,35000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
3569,Tata,2011,220000,80000,Diesel,Individual,Manual,First Owner,5,69.0,kmpl,23.03,1396
3571,Maruti,2019,600000,7500,Petrol,Individual,Automatic,First Owner,5,81.8,kmpl,21.21,1197
3573,Hyundai,2016,300000,40800,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
3576,Maruti,2016,550000,8588,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,22.0,1197
3581,Toyota,2018,670000,150000,Diesel,Individual,Manual,First Owner,5,67.05,kmpl,23.59,1364
3585,Hyundai,2016,425000,50000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
3589,Mahindra,2018,750000,22000,Diesel,Individual,Manual,First Owner,5,65.0,kmpl,21.03,1461
3593,Tata,2016,475000,50000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.95,1248
3599,Maruti,2015,700000,120000,Diesel,Individual,Manual,Second Owner,7,88.76,kmpl,20.77,1248
3605,Maruti,2012,240000,90000,Diesel,Individual,Manual,Second Owner,5,73.94,kmpl,23.2,1248
3609,Maruti,2015,400000,30000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
3610,Hyundai,2014,545000,80000,Diesel,Individual,Manual,Second Owner,5,126.32,kmpl,22.32,1582
3612,Hyundai,2016,725000,100000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,21.38,1396
3614,Maruti,2011,204999,85000,Diesel,Individual,Manual,Second Owner,5,73.9,kmpl,21.1,1248
3617,Maruti,2012,204000,110000,Petrol,Individual,Manual,Third Owner,5,67.1,kmpl,20.92,998
3618,Hyundai,2018,350000,25000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,20.3,998
3619,Volkswagen,2013,350000,100000,Diesel,Individual,Manual,First Owner,5,103.6,kmpl,20.54,1598
3620,Ford,2012,175000,120000,Diesel,Individual,Manual,Second Owner,5,68.0,kmpl,20.0,1399
3621,Volkswagen,2011,340000,90000,Diesel,Individual,Manual,First Owner,5,103.6,kmpl,20.54,1598
3637,Maruti,2013,360000,97000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.9,1248
3641,Maruti,2007,100000,60000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796
3645,Maruti,2014,450000,70000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
3647,Maruti,2011,215000,40000,Petrol,Individual,Manual,First Owner,5,85.8,kmpl,21.1,1197
3649,Volkswagen,2015,416000,80000,Diesel,Individual,Manual,First Owner,5,88.8,kmpl,20.14,1498
3652,Maruti,2010,145000,70000,Petrol,Individual,Manual,Second Owner,5,67.1,kmpl,20.92,998
3654,Maruti,2016,340000,30000,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,20.51,998
3657,Maruti,2015,300000,50000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
3660,Tata,2010,170000,150000,Diesel,Individual,Manual,Third Owner,5,88.8,kmpl,21.12,1248
3668,Maruti,2013,600000,60000,Diesel,Individual,Manual,Third Owner,7,88.8,kmpl,20.77,1248
3670,Hyundai,2019,509999,5000,Petrol,Individual,Manual,First Owner,5,68.0,kmpl,20.3,1086
3672,Hyundai,2015,280000,55000,Petrol,Individual,Manual,First Owner,5,78.9,kmpl,20.36,1197
3679,Ford,2015,600000,40000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498
3681,Volkswagen,2019,695000,36800,Diesel,Dealer,Manual,First Owner,5,88.0,kmpl,20.14,1498
3691,Maruti,2016,355000,60000,Petrol,Dealer,Manual,First Owner,5,67.05,kmpl,21.79,998
3694,Volkswagen,2018,650000,40000,Diesel,Dealer,Manual,First Owner,5,88.0,kmpl,20.14,1498
3699,Maruti,2011,300000,90000,Diesel,Individual,Manual,Second Owner,5,73.9,kmpl,21.1,1248
3700,Renault,2012,225000,110000,Diesel,Individual,Manual,Second Owner,5,63.12,kmpl,23.08,1461
3702,Hyundai,2014,700000,80000,Diesel,Individual,Manual,First Owner,5,126.32,kmpl,22.32,1582
3704,Hyundai,2016,800000,80000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,21.19,1396
3707,Toyota,2010,450000,120000,Diesel,Individual,Manual,Second Owner,5,87.2,kmpl,21.43,1364
3709,Hyundai,2016,925000,79000,Diesel,Dealer,Manual,First Owner,5,126.2,kmpl,19.67,1582
3717,Maruti,2013,620000,139000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248
3719,Renault,2019,786000,7720,Petrol,Individual,Manual,First Owner,7,71.0,kmpl,20.0,999
3721,Maruti,2002,120000,60000,Diesel,Individual,Manual,Second Owner,5,58.0,kmpl,20.8,1527
3722,Mahindra,2016,750000,100000,Diesel,Individual,Manual,First Owner,5,64.1,kmpl,20.8,1461
3727,Maruti,2015,290000,30000,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,23.1,998
3730,Hyundai,2019,500000,5000,Petrol,Individual,Manual,First Owner,5,68.0,kmpl,20.3,1086
3731,Tata,2013,250000,50000,Diesel,Individual,Manual,First Owner,5,88.8,kmpl,21.02,1248
3732,Tata,2013,220000,80000,Diesel,Individual,Manual,First Owner,5,69.0,kmpl,23.03,1396
3740,Ford,2017,960000,42000,Diesel,Dealer,Manual,First Owner,5,98.96,kmpl,23.0,1498
3745,Maruti,2019,1025000,15000,Petrol,Dealer,Automatic,First Owner,5,103.25,kmpl,20.28,1462
3747,Maruti,2017,700000,80000,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,22.0,1197
3748,Ford,2016,780000,60000,Diesel,Dealer,Manual,First Owner,5,98.59,kmpl,22.77,1498
3749,Hyundai,2017,1050000,70000,Diesel,Dealer,Manual,First Owner,5,126.32,kmpl,22.32,1582
3750,Tata,2016,400000,100000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.95,1248
3752,Maruti,2009,85000,90000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
3756,Renault,2018,260000,50000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
3767,Maruti,2011,155000,40000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3769,Maruti,2010,132000,105000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3770,Hyundai,2018,750000,30000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,22.54,1396
3772,Hyundai,2011,240000,80000,Petrol,Individual,Manual,First Owner,5,78.9,kmpl,20.36,1197
3776,Honda,2019,1100000,50000,Diesel,Individual,Manual,Second Owner,7,98.6,kmpl,21.9,1498
3779,Maruti,2011,325000,70000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.9,1248
3781,Renault,2017,800000,50000,Diesel,Individual,Manual,First Owner,8,83.8,kmpl,21.04,1461
3782,Ford,2018,950000,80000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3783,Maruti,2013,300000,120000,Diesel,Individual,Manual,Fourth & Above Owner,5,74.0,kmpl,22.9,1248
3793,Hyundai,2013,200000,68697,Petrol,Individual,Manual,Third Owner,5,55.2,kmpl,21.1,814
3799,Maruti,2014,425000,70000,Diesel,Individual,Manual,First Owner,5,73.94,kmpl,23.2,1248
3800,Toyota,2015,790000,126000,Diesel,Individual,Manual,Third Owner,5,87.2,kmpl,21.43,1364
3803,Toyota,2015,780000,129000,Diesel,Individual,Manual,Third Owner,5,87.2,kmpl,21.43,1364
3804,Hyundai,2010,180000,55000,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,19.81,1086
3805,Ford,2019,869999,40000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3806,Tata,2011,275000,50000,Diesel,Individual,Manual,First Owner,5,88.8,kmpl,21.12,1248
3809,Maruti,2016,315000,25000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
3810,Tata,2011,189000,70000,Diesel,Individual,Manual,Second Owner,5,70.0,kmpl,23.57,1396
3811,Maruti,2014,580000,120000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
3816,Hyundai,2017,680000,80000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
3817,Hyundai,2017,670000,80000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
3818,Maruti,2010,240000,80000,Petrol,Individual,Manual,Second Owner,5,67.1,kmpl,20.92,998
3821,Tata,2016,220000,22000,Petrol,Individual,Automatic,First Owner,4,37.48,kmpl,21.9,624
3823,Chevrolet,2013,225000,100000,Diesel,Individual,Manual,Second Owner,5,76.9,kmpl,22.1,1248
3825,Maruti,2014,600000,70000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,23.4,1248
3828,Maruti,2019,500000,10000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.89,1197
3830,Ford,2019,950000,16034,Diesel,Dealer,Manual,First Owner,5,98.96,kmpl,21.7,1498
3831,Ford,2012,250000,156040,Diesel,Dealer,Manual,First Owner,5,68.0,kmpl,20.0,1399
3834,Maruti,2017,509999,46000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,22.0,1197
3835,Maruti,2018,469000,5000,Petrol,Individual,Manual,First Owner,5,67.05,kmpl,21.79,998
3838,Ford,2019,906000,30000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498
3839,Ford,2011,160000,85000,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399
3845,Maruti,2012,325000,80000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
3846,Maruti,2008,150000,70000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
3847,Hyundai,2014,250000,2350,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
3848,Maruti,2011,175000,50000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3849,Maruti,2010,175000,58000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3855,Maruti,2012,160000,110000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
3857,Maruti,2010,160000,60000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796
3858,Hyundai,2012,400000,100000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.27,1396
3859,Toyota,2013,451000,120000,Diesel,Individual,Manual,First Owner,5,67.06,kmpl,23.59,1364
3861,Tata,2012,300000,70000,Diesel,Individual,Manual,Third Owner,5,88.8,kmpl,21.12,1248
3862,Maruti,2017,421000,59500,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,23.1,998
3865,Hyundai,2011,395000,75500,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.0,1396
3867,Maruti,2013,270000,60000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
3871,Ford,2017,875000,77524,Diesel,Dealer,Manual,First Owner,5,89.84,kmpl,22.7,1498
3876,Maruti,2018,800000,25000,Petrol,Individual,Automatic,First Owner,5,83.1,kmpl,21.4,1197
3878,Maruti,2017,530000,42000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
3879,Maruti,2015,450000,80000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197
3880,Maruti,2011,235000,60000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998
3881,Maruti,2013,550000,240000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
3883,Volkswagen,2015,515000,120000,Diesel,Individual,Manual,Second Owner,5,103.2,kmpl,20.34,1498
3884,Hyundai,2009,160000,35000,Petrol,Individual,Manual,Third Owner,5,68.05,kmpl,19.81,1086
3885,Maruti,2007,110000,120000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
3888,Maruti,2007,128000,60000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
3895,Maruti,2007,150000,80000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796
3898,Maruti,2018,750000,15000,Petrol,Individual,Manual,First Owner,5,100.5,kmpl,21.1,998
3907,Maruti,2017,370000,40000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.89,1197
3908,Maruti,2019,600000,20000,Petrol,Individual,Automatic,First Owner,5,83.1,kmpl,21.4,1197
3914,Maruti,2013,600000,50000,Diesel,Individual,Manual,Second Owner,7,88.8,kmpl,20.77,1248
3921,Maruti,2010,225000,64000,Diesel,Individual,Manual,Third Owner,5,73.9,kmpl,21.1,1248
3924,Maruti,2018,465000,30000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
3929,Renault,2015,415000,120000,Diesel,Individual,Manual,Second Owner,7,83.8,kmpl,21.04,1461
3933,Maruti,2018,459999,12000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
3939,Maruti,2018,640000,25000,Petrol,Individual,Automatic,First Owner,5,81.8,kmpl,22.0,1197
3940,Maruti,2017,350000,50000,Petrol,Individual,Automatic,First Owner,5,67.0,kmpl,20.51,998
3944,Maruti,2018,445000,5000,Petrol,Individual,Automatic,Second Owner,5,67.0,kmpl,20.51,998
3945,Maruti,2015,580000,15000,Diesel,Individual,Manual,Second Owner,7,88.76,kmpl,20.77,1248
